Title,Year,Type,Journal Name,Article URL,Researcher Name,Profile URL,Job Title,Field
Exploring the asset growth effect in the australian equity market,2011,Contribution to journal,Australian Journal of Management,https://researchportalplus.anu.edu.au/en/publications/exploring-the-asset-growth-effect-in-the-australian-equity-market,Jenni Bettman,https://researchportalplus.anu.edu.au/en/persons/jenni-bettman,,Finance
The economic significance of trading based on the size effect in Australia,2011,Contribution to journal,Australian Journal of Management,https://researchportalplus.anu.edu.au/en/publications/the-economic-significance-of-trading-based-on-the-size-effect-in-,Jenni Bettman,https://researchportalplus.anu.edu.au/en/persons/jenni-bettman,,Finance
The impact of liquidity and transaction costs on the 52-week high momentum strategy in Australia,2010,Contribution to journal,Australian Journal of Management,https://researchportalplus.anu.edu.au/en/publications/the-impact-of-liquidity-and-transaction-costs-on-the-52-week-high,Jenni Bettman,https://researchportalplus.anu.edu.au/en/persons/jenni-bettman,,Finance
Fundamental and technical analysis: Substitutes or complements?,2009,Contribution to journal,Accounting and Finance,https://researchportalplus.anu.edu.au/en/publications/fundamental-and-technical-analysis-substitutes-or-complements,Jenni Bettman,https://researchportalplus.anu.edu.au/en/persons/jenni-bettman,,Finance
Momentum profits in the Australian equity market: A matched firm approach,2009,Contribution to journal,Pacific Basin Finance Journal,https://researchportalplus.anu.edu.au/en/publications/momentum-profits-in-the-australian-equity-market-a-matched-firm-a,Jenni Bettman,https://researchportalplus.anu.edu.au/en/persons/jenni-bettman,,Finance
Australian Evidence Regarding the Value-Relevance of Technical Information,2007,Contribution to journal,Australian Journal of Management,https://researchportalplus.anu.edu.au/en/publications/australian-evidence-regarding-the-value-relevance-of-technical-in,Jenni Bettman,https://researchportalplus.anu.edu.au/en/persons/jenni-bettman,,Finance
Expanding Income-Contingent Loans for Tertiary Education,2023,Chapter in Book/Report/Conference proceeding,,https://researchportalplus.anu.edu.au/en/publications/expanding-income-contingent-loans-for-tertiary-education,Lucy Hu,https://researchportalplus.anu.edu.au/en/persons/lucy-hu,Associate Lecturer,Accounting
Exploring the asset growth effect in the australian equity market,2011,Contribution to journal,Australian Journal of Management,https://researchportalplus.anu.edu.au/en/publications/exploring-the-asset-growth-effect-in-the-australian-equity-market,Jenni Bettman,https://researchportalplus.anu.edu.au/en/persons/jenni-bettman,,Accounting
The economic significance of trading based on the size effect in Australia,2011,Contribution to journal,Australian Journal of Management,https://researchportalplus.anu.edu.au/en/publications/the-economic-significance-of-trading-based-on-the-size-effect-in-,Jenni Bettman,https://researchportalplus.anu.edu.au/en/persons/jenni-bettman,,Accounting
The impact of liquidity and transaction costs on the 52-week high momentum strategy in Australia,2010,Contribution to journal,Australian Journal of Management,https://researchportalplus.anu.edu.au/en/publications/the-impact-of-liquidity-and-transaction-costs-on-the-52-week-high,Jenni Bettman,https://researchportalplus.anu.edu.au/en/persons/jenni-bettman,,Accounting
Fundamental and technical analysis: Substitutes or complements?,2009,Contribution to journal,Accounting and Finance,https://researchportalplus.anu.edu.au/en/publications/fundamental-and-technical-analysis-substitutes-or-complements,Jenni Bettman,https://researchportalplus.anu.edu.au/en/persons/jenni-bettman,,Accounting
Momentum profits in the Australian equity market: A matched firm approach,2009,Contribution to journal,Pacific Basin Finance Journal,https://researchportalplus.anu.edu.au/en/publications/momentum-profits-in-the-australian-equity-market-a-matched-firm-a,Jenni Bettman,https://researchportalplus.anu.edu.au/en/persons/jenni-bettman,,Accounting
Australian Evidence Regarding the Value-Relevance of Technical Information,2007,Contribution to journal,Australian Journal of Management,https://researchportalplus.anu.edu.au/en/publications/australian-evidence-regarding-the-value-relevance-of-technical-in,Jenni Bettman,https://researchportalplus.anu.edu.au/en/persons/jenni-bettman,,Accounting
Expanding Income-Contingent Loans for Tertiary Education,2023,Chapter in Book/Report/Conference proceeding,,https://researchportalplus.anu.edu.au/en/publications/expanding-income-contingent-loans-for-tertiary-education,Lucy Hu,https://researchportalplus.anu.edu.au/en/persons/lucy-hu,Associate Lecturer,Finance
